"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Respostas,Navegação,"Visitas ao perfil","Toques em figurinhas",Seguimentos
18093633781862183,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,45,"10/23/2025 14:15",https://www.instagram.com/stories/institutolucianeprado/3749994143120673590,"Story do Instagram",,Total,400,323,2,0,0,199,1,,
17983202156756169,17841402073846050,institutolucianeprado,"Instituto Luciane Prado","Pele saudável é sinônimo de confiança. Um toque de cuidado que faz toda diferença! @danyfreitas_",45,"10/23/2025 04:51",https://www.instagram.com/stories/institutolucianeprado/3749709996976285135,"Story do Instagram",,Total,286,241,1,0,0,198,,,
17862647445433869,17841402073846050,institutolucianeprado,"Instituto Luciane Prado","Discutindo casos e alinhando protocolos ✨",14,"10/23/2025 04:42",https://www.instagram.com/stories/institutolucianeprado/3749705571725511195,"Story do Instagram",,Total,247,209,2,0,0,197,,,
18168355039372476,17841402073846050,institutolucianeprado,"Instituto Luciane Prado","Momento de conexão e estratégia com nossa equipe✨",21,"10/23/2025 04:41",https://www.instagram.com/stories/institutolucianeprado/3749704847486649229,"Story do Instagram",,Total,292,230,5,1,0,226,,,
17885525802263356,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,53,"10/22/2025 14:02",https://www.instagram.com/stories/institutolucianeprado/3749262727882861405,"Story do Instagram",,Total,228,193,5,0,0,211,,,
,,,,,,,,,"An error occurred while computing metadata for content with ID 18070009856585463.",Total,245,211,1,1,0,210,,,
17986611452905039,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/21/2025 15:27",https://www.instagram.com/stories/institutolucianeprado/3748580812510001504,"Story do Instagram",,Total,250,221,1,0,0,209,,,
17918635023055224,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/21/2025 15:27",https://www.instagram.com/stories/institutolucianeprado/3748580635367720820,"Story do Instagram",,Total,266,225,1,0,0,228,,3,
,,,,,,,,,"An error occurred while computing metadata for content with ID 17915595639206639.",Total,254,224,2,0,0,220,,,
17914290270211417,17841402073846050,institutolucianeprado,"Instituto Luciane Prado","A biópsia é um exame rápido e seguro que ajuda a identificar alterações na pele com precisão. @drosternopotenciano",13,"10/21/2025 15:25",https://www.instagram.com/stories/institutolucianeprado/3748579567019783989,"Story do Instagram",,Total,255,236,2,0,0,230,,,
